id,created_at,text,media_url
866339178258288641,2017-05-21 17:05:30,Had a great dinner last night with the Class of 2017 and their families! Looking forward to watching them graduate! https://t.co/8hwEYzrQhD,http://pbs.twimg.com/media/DAXa4phXUAEuTW1.jpg
862817775223545856,2017-05-11 23:52:42,RT @buwoten: Holding final practice before Friday's @NCAATennis 1st-Round matchup at No. 15 Duke! #GoBU https://t.co/jUFnaql1nc,http://pbs.twimg.com/media/C_lBuEMWAAIY-ja.jpg
860955521813237761,2017-05-06 20:32:46,Good times volunteering at the Special Olympics today! Congrats to all the athletes! https://t.co/3csT8jDcvX,http://pbs.twimg.com/media/C_K6evqXsAEpUeq.jpg
859526767954079744,2017-05-02 21:55:25,RT @buwoten: We will make our 17th @NCAATennis appearance at No. 15 Duke! More details to come. #GoBU https://t.co/CCkL70UN0L,http://pbs.twimg.com/media/C-2ld2TXoAA-S4O.jpg
859498177883406336,2017-05-02 20:01:48,"RT @TerrierLacrosse: Postseason, we're ready for you! #GoBU #RISE https://t.co/0L85lWn8ug",http://pbs.twimg.com/ext_tw_video_thumb/859496156069601284/pu/img/ssDyjdUTxjuAhQE8.jpg
859470808388956161,2017-05-02 18:13:03,"Also, senior captain Jake De Vries was named one of this year's Aldo ""Buff"" Donelli Leadership Award recipients! https://t.co/YES1BoXX7C",http://pbs.twimg.com/media/C-10I5DWsAI-tps.jpg
859467965120565249,2017-05-02 18:01:45,"Special shoutout to senior Miguel Cepeda, who earned the first ever Unsung Hero award at last night's Rhettys. https://t.co/e77nFJCXyk",http://pbs.twimg.com/media/C-1xjVeXcAAiRP9.jpg
859467593974984704,2017-05-02 18:00:17,Great time last night at The Rhettys honoring our student-athletes! All four seniors took home some hardware! https://t.co/T0BuYVEd7p,http://pbs.twimg.com/media/C-1xNt1XUAU1NAU.jpg
857035607821910017,2017-04-26 00:56:26,RT @BUMensLacrosse: SEE YOU IN BALTIMORE! https://t.co/U6MH9BPSve,http://pbs.twimg.com/media/C-TMyNAUAAAs88Z.jpg
856207143527219200,2017-04-23 18:04:25,"Had a great time in D.C. today, and made some new friends too! @ColumbiaXCTF https://t.co/y2pP0bi3p1",http://pbs.twimg.com/media/C-Hb2TjXYAAfRol.jpg
855769356940320768,2017-04-22 13:04:48,Getting warmed up for our Patriot League semifinal against Army West Point. Doubles begins at 10 a.m. #GoBU https://t.co/vz2zNYFK64,http://pbs.twimg.com/media/C-BNrm4UAAAx_LR.jpg
855597124834267136,2017-04-22 01:40:25,"Thank you to our coaches, parents, and athletics staff for their support here at Navy this weekend! https://t.co/gb9agUFi6h",http://pbs.twimg.com/media/C9-xCvqV0AAP66j.jpg
855461969284956160,2017-04-21 16:43:21,"After capturing doubles point, we quickly claim three singles points to advance to Saturday's semis vs. Army! #GoBU https://t.co/kN72ilOphk",http://pbs.twimg.com/media/C982HxpWAAAVYhw.jpg
855411796387213314,2017-04-21 13:23:59,We will be indoors today for the quarterfinals vs. Colgate. No. 8 Lafayette and No. 1 Army are currently underway. https://t.co/eYu6ReK6c6,http://pbs.twimg.com/media/C98IelIUwAAFaNY.jpg
855202072525930496,2017-04-20 23:30:37,Wrapping up our final practice before facing Colgate in the @PatriotLeague Quarterfinals Friday at 10:30am. #GoBU https://t.co/h8y80vXjZg,http://pbs.twimg.com/media/C95Jv6NXkAE2Eqa.jpg
853622952113434624,2017-04-16 14:55:45,Getting set to face Colgate in our regular season finale! Doubles begins at noon at Harvard's Beren Tennis Center https://t.co/0NslJxmKcI,http://pbs.twimg.com/media/C9ithdMXUAEshsz.jpg
850735545013723137,2017-04-08 15:42:14,Gameday #BeatArmy https://t.co/eddB4CijfS,http://pbs.twimg.com/media/C85rZWfWAAAqGJp.jpg
850420984859344896,2017-04-07 18:52:17,Getting set for warm ups against Lehigh for a critical Patriot League matchup at 4 pm #GoBU https://t.co/DF0BZWnhKE,http://pbs.twimg.com/media/C81NXnEXYAAz8cY.jpg
849823913546788866,2017-04-06 03:19:44,RT @BUAthletics: 43 minutes left and we’ve raised 43% of the university total… INCREDIBLE! https://t.co/VdEjnSrLG3 https://t.co/ZPg22gtGue,http://pbs.twimg.com/media/C8suGPbUIAAVUUi.jpg
849788929687662593,2017-04-06 01:00:43,3 hours left of #BUGivingDay! We're only 20 donors behind for a $1k bonus. Let's get it! https://t.co/2QCr7e2vmE https://t.co/5ncvEaknRg,http://pbs.twimg.com/media/C8sOhgqXUAIN5VI.jpg
849691410035093514,2017-04-05 18:33:13,Calling all college tennis fans! Let's show what makes our sport great. Make your impact at https://t.co/2QCr7e2vmE https://t.co/60rSZwSIxy,http://pbs.twimg.com/media/C8q11MTXsAgie3X.jpg
849636373837565952,2017-04-05 14:54:31,That feeling when you hit your $15k matching goal before 11 a.m. 😏 Now let's WIN the Athletics Challenge! #GoBU https://t.co/7oC7qkZjZ2,http://pbs.twimg.com/ext_tw_video_thumb/849636340589363200/pu/img/LnDaXsQGscDyIbv0.jpg
849628645568249857,2017-04-05 14:23:49,RT @bualumni: The @TerrierTennis team is ready for #BUGivingDay! Go team!! https://t.co/6uTDAfOHX4,http://pbs.twimg.com/media/C8p02oiXcAErx78.jpg
849484023210684417,2017-04-05 04:49:08,#BUGivingDay is here! Help us win the day and reach our matching gift goal of $15k! To give: https://t.co/vWdCn0ZiNc https://t.co/0m9gJjnn7g,http://pbs.twimg.com/media/C8n5Kk4XcAATjm8.jpg
849278600956321793,2017-04-04 15:12:51,Put up the ones because there's just 1 day left until #BUGivingDay! Make your gift tomorrow! https://t.co/fsZXEI3ovM https://t.co/698EHcC09O,http://pbs.twimg.com/media/C8k-YgwXkAE5HsQ.jpg
849068563038175233,2017-04-04 01:18:15,You know when that hotline bling. That can only mean one thing. *Donate to BU Tennis on #BUGivingDay this Wednesday* https://t.co/AnAz1ZemO1,http://pbs.twimg.com/media/C8h_VMKXYAA7lat.jpg
848896753231417344,2017-04-03 13:55:32,TWO days away from #BUGivingDay! Make your impact and help us unlock $15k in matching gifts and $4k in prizes! #GoBU https://t.co/Ref9Y6WfwL,http://pbs.twimg.com/media/C8fjFzdXcAAzVvv.jpg
848174675360350208,2017-04-01 14:06:15,No April Fools here. We take on UConn at 5 pm tonight! And a reminder that #BUGivingDay is just 4 days away! https://t.co/KJW5jBmruX,http://pbs.twimg.com/media/C8VSXY1UwAEsVuw.jpg
847874979572174848,2017-03-31 18:15:22,RT @buwoten: One hour away from #SeniorDay! #GoBU #BleedScarlet https://t.co/N2RDzOWpwk,http://pbs.twimg.com/media/C8Q8Rw9XUAUwtRg.jpg
847158916307963904,2017-03-29 18:49:59,#BUGivingDay is ONE week away! Help us unlock thousands of dollars in bonus funds with your gift on April 5! https://t.co/VQWSpIudJJ,http://pbs.twimg.com/media/C8G2imPX0AEhiL0.jpg
